Cliente Ordine ,Ragione Sociale ,Partita iva,Codice ateco,Codice ATECO 2025,Descrizione ATECO 2025,Codice ATECO Primario,Descrizione ATECO Primario
273,ELETTROMECCANICA RENO SR,02198231207,,27.90.09,Fabbricazione di altre apparecchiature elettriche n.c.a.,27.90.09,Fabbricazione di altre apparecchiature elettriche n.c.a.
289,ELUMATEC  ITALIA  SRL,02155621200,,28.41,Fabbricazione di macchine per la deformazione dei metalli e di altre macchine utensili per la lavorazione dei metalli,28.41,Fabbricazione di macchine utensili per la formatura dei metalli
290,S.C.E. SRL,00762830362,,26,Fabbricazione di computer e prodotti di elettronica e ottica,26,"FABBRICAZIONE DI COMPUTER E PRODOTTI DI ELETTRONICA E OTTICA; APPARECCHI ELETTROMEDICALI, APPARECCHI DI MISURAZIONE E DI OROLOGI"
299,BAUMER SRL,02114770361,,28.29.3,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio",28.29.3,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)"
301,LPM.GROUP  SPA,01225930377,,22.26.99,Fabbricazione di altri prodotti vari in materie plastiche n.c.a.,22.29.09,Fabbricazione di altri articoli in materie plastiche n.c.a.
312,3F FILIPPI SPA,00529461204,,27.4,Fabbricazione di apparecchiature per l'illuminazione,27.4,FABBRICAZIONE DI APPARECCHIATURE PER ILLUMINAZIONE
314,TORRESI RAFFAELE SRL,00910400431,,46.61,"Commercio all'ingrosso di macchinari, attrezzature e forniture agricole",46.61,"Commercio all'ingrosso di macchinari, attrezzature e forniture agricole"
319,MICROM-EL SNC,00954350351,,None,,33.20.03,
320,IDROELETTRICA  SPA,01021580368,,28.12,Fabbricazione di apparecchiature fluidodinamiche,28.12,Fabbricazione di apparecchiature fluidodinamiche
333,CENTAURO SPA,00358910362,,24.51.01,Fusione di getti in ghisa grigia o lamellare,24.51,Fusione di ghisa
335,C.M.  SURFACE  TREATMENT,01918330364,,28.29.99,Fabbricazione di altre macchine varie di impiego generale n.c.a.,28.29.99,Fabbricazione di altro materiale meccanico e di altre macchine di impiego generale n.c.a.
341,C.A.T. PROGETTI SRL,00614261204,,27.90.09,Fabbricazione di altre apparecchiature elettriche n.c.a.,27.90.09,Fabbricazione di altre apparecchiature elettriche n.c.a.
345,MICRO SYSTEMS SRL,01306460369,,26.51.29,Fabbricazione di altri strumenti e apparecchi di misurazione e prova n.c.a.,26.51.29,"Fabbricazione di altri apparecchi di misura e regolazione, strumenti da disegno, di contatori di elettricità, gas, acqua ed altri liquidi, di bilance analitiche di precisione (incluse parti staccate ed accessori)"
355,BIEFFEBI SRL,00500991203,,28.99.1,Fabbricazione di macchine per la stampa e la legatoria,28.99.1,Fabbricazione di macchine per la stampa e la legatoria (incluse parti e accessori)
376,COMAR CONDENSATORI SPA,00593721202,,26.11,Fabbricazione di componenti elettronici,26.11.09,Fabbricazione di altri componenti elettronici
381,LOGOMAT SRL,01615591201,,33.20.03,Installazione di strumenti e apparecchi di misurazione e controllo,33.20.03,"Installazione di strumenti ed apparecchi di misurazione, controllo, prova, navigazione e simili (incluse le apparecchiature di controllo dei processi industriali)"
403,COROB SPA,03754020968,,28.29.99,Fabbricazione di altre macchine varie di impiego generale n.c.a.,28.29.99,Fabbricazione di altro materiale meccanico e di altre macchine di impiego generale n.c.a.
408,BOLLINA SRL,00629411208,,28.4,Fabbricazione di macchine per la deformazione dei metalli e di altre macchine utensili,28.4,FABBRICAZIONE DI MACCHINE PER LA FORMATURA DEI METALLI E DI ALTRE MACCHINE UTENSILI
412,TECHNIPES SRL,01942510403,,28.29.1,Fabbricazione di bilance e distributori automatici,28.29.1,Fabbricazione di bilance e di macchine automatiche per la vendita e la distribuzione (incluse parti staccate e accessori)
422,TILE SERVICE SRL,02773110362,,46.64.99,Commercio all'ingrosso di altri macchinari e attrezzature varie n.c.a.,46.69.99,"Commercio all'ingrosso di altre macchine ed attrezzature per l'industria, il commercio e la navigazione n.c.a."
423,TBF  SRL,01958040352,,43.21.01,Installazione di impianti di illuminazione e fotovoltaici in edifici,43.21.01,Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione e riparazione)
424,INDUSTRIALE  ELETTRICA,00530160340,,46.64.2,Commercio all'ingrosso di materiale elettrico per impianti industriali,46.69.2,Commercio all'ingrosso di materiale elettrico per impianti di uso industriale
429,F & B SYSTEMS SRL,01502340340,,46.64.2,Commercio all'ingrosso di materiale elettrico per impianti industriali,46.69.2,Commercio all'ingrosso di materiale elettrico per impianti di uso industriale
433,N.A. ELETTRONICA SRL,00668951205,,26.51.29,Fabbricazione di altri strumenti e apparecchi di misurazione e prova n.c.a.,26.51.29,"Fabbricazione di altri apparecchi di misura e regolazione, strumenti da disegno, di contatori di elettricità, gas, acqua ed altri liquidi, di bilance analitiche di precisione (incluse parti staccate ed accessori)"
444,PM SERVIZI  SRL,03118790363,,33.12.59,Riparazione e manutenzione di altre macchine di impiego generale n.c.a.,33.12.59,Riparazione e manutenzione di altre macchine di impiego generale n.c.a.
453,BERNIERI TECNOMONTAGGI,01520130343,,27.33,Fabbricazione di attrezzature per cablaggio,27.33,Fabbricazione di attrezzature per cablaggio
461,RI.PI. SRL,00685181208,,28.99.99,Fabbricazione di tutte le altre macchine varie per impieghi speciali n.c.a.,28.99.99,Fabbricazione di altre macchine ed attrezzature per impieghi speciali n.c.a. (incluse parti e accessori)
465,G.S. ELETTROMECCANICA SR,01260740400,,33.20.01,"Installazione di motori, generatori e trasformatori elettrici e di apparecchiature per la distribuzione e il controllo della elettricità",27.12,Fabbricazione di apparecchiature per le reti di distribuzione e il controllo dell'elettricità
467,ABM AUTOMAZIONI  SRL,02670791207,,28.29.3,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio",28.29.3,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)"
468,MINERVA OMEGA GROUP SRL,02696821202,,28.93,"Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco",28.93,"Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco"
473,LA FIDUCIARIA SRL,00511171209,,33.12.54,Riparazione e manutenzione di macchine per impacchettare e imballare,33.12.54,"Riparazione e manutenzione di macchine per la dosatura, la confezione e l'imballaggio"
475,A.C.M.A. SPA,00281690370,,28.29.3,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio",28.29.3,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)"
479,PIZZOLI SPA,00590481206,,10.31,Lavorazione e conservazione di patate,10.31,Lavorazione e conservazione delle patate
486,TURRINI DANTE SNC,00687231209,,28.42,Fabbricazione di altre macchine utensili,28.49.09,Fabbricazione di altre macchine utensili (incluse parti e accessori) n.c.a.
488,SERTAM  SRL,02245400367,,28.29.99,Fabbricazione di altre macchine varie di impiego generale n.c.a.,28.29.99,Fabbricazione di altro materiale meccanico e di altre macchine di impiego generale n.c.a.
496,AMOTEK SRL,01915041204,,28.29.3,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio",28.29.3,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)"
497,TOYOTA MATERIAL HANDLING,04217660374,,28.22.09,Fabbricazione di altri apparecchi di sollevamento e movimentazione,28.22.02,"Fabbricazione di gru, argani, verricelli a mano e a motore, carrelli trasbordatori, carrelli elevatori e piattaforme girevoli"
500,C.F.E. SRL,01140500370,,33.12.99,Riparazione e manutenzione di altre macchine per impieghi speciali n.c.a.,33.12.99,Riparazione e manutenzione di altre macchine per impieghi speciali n.c.a. (incluse le macchine utensili)
514,FEIBO SRL,02414980371,,46.47.3,"Commercio all'ingrosso di articoli per l'illuminazione per la casa, l'ufficio e i negozi",46.47.3,Commercio all'ingrosso di articoli per l'illuminazione; materiale elettrico vario per uso domestico
515,BALBONI & POGGI SNC,00428570378,,46.64,Commercio all'ingrosso di altri macchinari e attrezzature,46.69,Commercio all'ingrosso di altri macchinari e attrezzature
